"library","COI"
"S_716_S283",12
"S_726_S69_L003",60
"S_732_S243",42
"S_733_S67_L003",2.5
"S_737_S201",56.25
"S_738_S39",6
"S_758_S128",50
"S_762_S173",20
"S_764_S93_L003",70
"S_765_S48",3
"S_769_S220",1
"S_770_S57_L003",4
"S_772_S58_L003",0
"S_779_S94_L003",0
"S_797_S209",0
"S_809_S270",50
"S_813_S44_L003",25
"S_824_S40",0
"S_825_S71",2.5
"S_826_S8_L003",6
"S_829_S286",20
"S_831_S353",50
"S_837_S50_L003",50
"S_838_S306",25
"S_840_S88_L003",10
"S_844_S151",0
"S_856_S174",10
"S_861_S22_L003",40
"S_865_S82",10
"S_868_S274",1.5
"S_869_S241",6
"S_874_S217",30
"S_879_S97",3
"S_881_S365",60
"S_885_S77",0.5
"S_901_S136",NA
"S_905_S248",0.5
"S_927_S334",0
"S_932_S42_L003",3
"S_961_S70_L003",48
"S_962_S42",5
"S_969_S19_L003",7
"S_972_S142",0
"S_978_S90",0
"S_983_S4",0
"S_984_S370",5
"S_985_S131",1
"S_989_S196",2.5
"S_993_S55",0.5
"S_1001_S52_L003",50
"S_1004_S75_L003",70
"S_1007_S311",12
"S_1010_S144",5
"S_1012_S150",20
"S_1013_S145",5
"S_1020_S139",2.25
"S_1022_S29",25
"S_1029_S66_L003",0
"S_1030_S13",30
"S_1031_S380",1
"S_1036_S32",10
"S_1041_S151",70
"S_1045_S231",0
"S_1052_S227",20
"S_1053_S23",24
"S_1054_S345",0.5
"S_1057_S302",0.5
"S_1075_S38",20
"S_1076_S167",30
"S_1082_S287",6
"S_1093_S116",30
"S_1118_S92",5
"S_1124_S271",2
"S_1125_S30_L003",0
"S_1127_S332",0
"S_1130_S319",50
"S_1132_S315",7.5
"S_1134_S91",3
"S_1135_S76_L003",18
"S_1138_S159",30
"S_1140_S60_L003",18
"S_1154_S161",15
"S_1159_S297",6
"S_1160_S11",70
"S_1161_S254",3
"S_1162_S384",40
"S_1177_S24",10
"S_1179_S105",40
"S_1200_S164",30
"S_1202_S72_L003",40
"S_1203_S53",0
"S_1210_S120",2.5
"S_1213_S95_L003",20
"S_1223_S229",4
"S_1237_S377",0
"S_1247_S133",0
"S_1257_S89",5
"S_1278_S20",0
"S_1287_S146",30
"S_1289_S164",24
"S_1305_S246",10
"S_1308_S183",5
"S_1315_S322",5
"S_1317_S208",5
"S_1323_S36",15
"S_1324_S206",20
"S_1326_S53_L003",60
"S_1328_S372",30
"S_1330_S26_L003",5
"S_1343_S366",1
"S_1370_S76",0
"S_1374_S132",0
"S_1383_S323",1.5
"S_1384_S78",0
"S_1390_S94",50
"S_1393_S83_L003",0
"S_1395_S102",5
"S_1403_S130",3
"S_1404_S202",0
"S_1405_S126",0
"S_1407_S312",3
"S_1408_S17_L003",70
"S_1412_S125",0
"S_1413_S10_L003",6
"S_1423_S318",40
"S_1430_S329",4
"S_1431_S278",0
"S_1434_S73_L003",0
"S_1437_S292",2
"S_1441_S235",15
"S_1442_S328",0
"S_1443_S64_L003",6
"S_1452_S275",5
"S_1462_S171",18
"S_1464_S64",2.5
"S_1467_S106",6
"S_1468_S139",6
"S_1472_S295",0
"S_1479_S2_L003",3
"S_1488_S316",7
"S_1496_S272",50
"S_1499_S25_L003",0
"S_1506_S61",0
"S_1513_S327",0
"S_1516_S148",9
"S_1518_S240",1
"S_1521_S18",20
"S_1528_S47",20
"S_1531_S31_L003",0
"S_1532_S117",50
"S_1542_S44",0
"S_1549_S342",0
"S_1552_S185",3
"S_1561_S52",2.5
"S_1565_S74_L003",4
"S_1567_S13_L003",5
"S_1573_S236",1
"S_1584_S296",24
"S_1599_S343",50
"S_1603_S91_L003",1
"S_1604_S168",36
"S_1619_S303",10
"S_1620_S26",0
"S_1621_S339",42
"S_1623_S378",7.5
"S_1629_S373",10
"S_1631_S361",50
"S_1637_S325",36
"S_1639_S204",3
"S_1643_S375",1
"S_1649_S331",5
"S_1651_S111",5
"S_1653_S294",1
"S_1660_S143",40
"S_1669_S157",0
"S_1674_S49_L003",2.5
"S_1675_S175",4
"S_1677_S221",0
"S_1678_S107",3
"S_1683_S338",2
"S_1687_S90_L003",0
"S_1689_S192",0
"S_1689_1_S192",0
"S_1691_S141",3.75
"S_1697_S147",5
"S_1699_S367",2
"S_1723_S369",4
"S_1725_S144",0.5
"S_1727_S30",2.5
"S_1728_S376",60
"S_1735_S172",6
"S_1736_S359",15
"S_1740_S146",13.5
"S_1742_S357",12
"S_1747_S48_L003",5
"S_1749_S247",1
"S_1753_S75",5
"S_1755_S134",1
"S_1757_S61_L003",15
"S_1779_S226",50
"S_1780_S45_L003",12
"S_1781_S84",15
"S_1783_S150",0.5
"S_1799_S86",3
"S_1800_S14_L003",0
"S_1810_S213",12
"S_1811_S148",20
"S_1813_S253",6
"S_1817_S210",30
"S_1818_S238",0
"S_1822_S37",10
"S_1823_S3_L003",1
"S_1824_S180",NA
"S_1825_S198",5
"S_1828_S156",2
"S_1831_S153",0
"S_1834_S114",10
"S_1835_S57",0
"S_1837_S256",60
"S_1839_S299",24
"S_1841_S250",0
"S_1845_S34",40
"S_1855_S49",1
"S_1856_S51",0.5
"S_1861_S1_L003",40
"S_1865_S374",24
"S_1866_S158",0
"S_1871_S186",9
"S_1874_S244",30
"S_1877_S262",60
"S_1899_S193",7
"S_1900_S242",6
"S_1909_S132",18
"S_1910_S23_L003",5
"S_1921_S54",0
"S_1934_S21_L003",70
"S_1935_S15",5
"S_1936_S218",2
"S_1939_S59",20
"S_1945_S21",24
"S_1946_S184",3
"S_1950_S66",0
"S_1952_S293",2
"S_1955_S145",4.5
"S_1956_S127",0
"S_1969_S291",3
"S_1971_S104",20
"S_1973_S267",70
"S_1998_S79_L003",0
"S_2005_S22",25
"S_2008_S85_L003",3
"S_2010_S200",0
"S_2014_S264",2.5
"S_2015_S266",0
"S_2025_S28",2.5
"S_2029_S18_L003",40
"S_2031_S70",0
"S_2037_S371",0
"S_2038_S118",36
"S_2039_S155",5
"S_2066_S68_L003",0
"S_2073_S215",5
"S_2075_S187",0
"S_2076_S5_L003",10
"S_2077_S82_L003",0.5
"S_2080_S6_L003",40
"S_2083_S65_L003",3
"S_2089_S17",0
"S_2096_S54_L003",40
"S_2098_S191",3
"S_2099_S335",0.5
"S_2103_S301",30
"S_2104_S224",3
"S_2105_S269",0
"S_2107_S349",2
"S_2108_S154",10
"S_2115_S280",30
"S_2116_S350",3
"S_2120_S134",0
"S_2124_S101",0
"S_2125_S140",0
"S_2126_S35",3
"S_2130_S16_L003",15
"S_2135_S234",3
"S_2138_S112",25
"S_2139_S60",2
"S_2140_S363",0
"S_2143_S84_L003",0
"S_2145_S212",0
"S_2149_S9_L003",0
"S_2155_S383",4
"S_2157_S122",2
"S_2162_S4_L003",18
"S_2167_S81_L003",0
"S_2177_S11_L003",2.5
"S_2187_S360",15
"S_2192_S307",3
"S_2193_S216",7.5
"S_2194_S133",12
"S_2195_S129",0
"S_2198_S47_L003",5
"S_2200_S5",0.1
"S_2201_S214",0
"S_2203_S277",0
"S_2211_S38_L003",3
"S_2212_S230",0
"S_2214_S290",4
"S_2224_S161",30
"S_2225_S110",3
"S_2226_S298",24
"S_2228_S346",0
"S_2232_S273",3
"S_2233_S80_L003",6
"S_2271_S195",5
"S_2277_S189",18
"S_2285_S158",0
"S_2296_S115",0
"S_2299_S281",50
"S_2302_S259",25
"S_2307_S288",52.5
"S_2316_S149",1
"S_2317_S77_L003",5
"S_2318_S85",36
"S_2319_S337",0
"S_2323_S355",2.5
"S_2326_S100",0
"S_2332_S35_L003",15
"S_2335_S96",0
"S_2341_S56",0
"S_2344_S156",0
"S_2346_S152",0
"S_2351_S197",0
"S_2358_S289",5
"S_2362_S55_L003",0
"S_2370_S336",1
"S_2375_S268",40
"S_2386_S67",0
"S_2387_S147",2
"S_2388_S137",0
"S_2395_S194",6
"S_2397_S166",6
